timestamp,data_timestamp_raw,asset,mid,bid,ask,source,is_observed,collected_at
2026-01-06T03:36:25+00:00,03:36:25,BTC,93907.981,93903.91,93912.99,dom,1,2026-01-06T03:38:47.762410+00:00
2026-01-06T03:36:26+00:00,03:36:26,BTC,93907.561,93903.81,93912.56,dom,1,2026-01-06T03:38:48.777966+00:00
2026-01-06T03:36:27+00:00,03:36:27,BTC,93908.491,93904.69,93913.48,dom,1,2026-01-06T03:38:49.787603+00:00
2026-01-06T03:36:28+00:00,03:36:28,BTC,93909.161,93905.4,93914.06,dom,1,2026-01-06T03:38:50.790391+00:00
2026-01-06T03:36:29+00:00,03:36:29,BTC,93908.981,93905.03,93913.84,dom,1,2026-01-06T03:38:51.792826+00:00
2026-01-06T03:36:30+00:00,03:36:30,BTC,93908.831,93904.61,93913.65,dom,1,2026-01-06T03:38:52.808553+00:00
2026-01-06T03:36:31+00:00,03:36:31,BTC,93909.381,93904.98,93914.24,dom,1,2026-01-06T03:38:53.870914+00:00
2026-01-06T03:36:32+00:00,03:36:32,BTC,93910.241,93905.89,93915.16,dom,1,2026-01-06T03:38:54.886773+00:00
2026-01-06T03:36:33+00:00,03:36:33,BTC,93911.691,93907.73,93916.58,dom,1,2026-01-06T03:38:55.822177+00:00
2026-01-06T03:36:34+00:00,03:36:34,BTC,93912.641,93909.44,93917.41,dom,1,2026-01-06T03:38:56.823285+00:00
2026-01-06T03:36:35+00:00,03:36:35,BTC,93913.051,93910.29,93917.73,dom,1,2026-01-06T03:38:57.838104+00:00
2026-01-06T03:36:36+00:00,03:36:36,BTC,93915.011,93912.46,93919.8,dom,1,2026-01-06T03:38:58.907450+00:00
2026-01-06T03:36:37+00:00,03:36:37,BTC,93916.331,93913.47,93921.4,dom,1,2026-01-06T03:38:59.925866+00:00
2026-01-06T03:36:38+00:00,03:36:38,BTC,93915.431,93911.22,93920.89,dom,1,2026-01-06T03:39:00.898021+00:00
2026-01-06T03:36:39+00:00,03:36:39,BTC,93911.811,93907.22,93917.19,dom,1,2026-01-06T03:39:01.886561+00:00
2026-01-06T03:36:40+00:00,03:36:40,BTC,93905.461,93901.45,93910.29,dom,1,2026-01-06T03:39:02.891604+00:00
2026-01-06T03:36:41+00:00,03:36:41,BTC,93899.791,93894.96,93902.32,dom,1,2026-01-06T03:39:03.891589+00:00
2026-01-06T03:36:42+00:00,03:36:42,BTC,93895.341,93890.12,93898.01,dom,1,2026-01-06T03:39:04.902372+00:00
