timestamp,collected_at,seconds,up_mid,up_best_bid,up_best_ask,down_mid,down_best_bid,down_best_ask,up_best_bid_size,up_best_ask_size,down_best_bid_size,down_best_ask_size,up_bid_2,up_bid_2_size,up_ask_2,up_ask_2_size,down_bid_2,down_bid_2_size,down_ask_2,down_ask_2_size
2026-01-06 17:38:29+00:00,2026-01-06 17:38:29.492678+00:00,509.0,0.935,0.93,0.94,0.065,0.06,0.07,103.0,10.0,10.0,103.0,0.92,389.01,0.95,480.0,0.05,480.0,0.08,511.01
2026-01-06 17:38:29.514000+00:00,2026-01-06 17:38:30.074590+00:00,509.514,0.935,0.93,0.94,0.065,0.06,0.07,103.0,10.0,10.0,103.0,0.92,657.01,0.95,480.0,0.05,480.0,0.08,657.01
2026-01-06 17:38:30.001000+00:00,2026-01-06 17:38:30.504535+00:00,510.001,0.935,0.93,0.94,0.065,0.06,0.07,103.0,10.0,10.0,103.0,0.92,649.01,0.95,480.0,0.05,480.0,0.08,604.01
2026-01-06 17:38:30.498000+00:00,2026-01-06 17:38:31.081355+00:00,510.498,0.935,0.93,0.94,0.065,0.06,0.07,113.0,10.82,10.82,128.0,0.92,574.01,0.95,480.0,0.05,480.0,0.08,574.01
2026-01-06 17:38:31.043000+00:00,2026-01-06 17:38:31.528961+00:00,511.043,0.945,0.94,0.95,0.055,0.05,0.06,5.0,477.49,472.49,5.0,0.93,93.0,0.96,1311.99,0.04,1316.99,0.07,173.0
2026-01-06 17:38:31.573000+00:00,2026-01-06 17:38:32.067586+00:00,511.573,0.945,0.94,0.95,0.055,0.05,0.06,95.0,237.49,237.49,95.0,0.93,604.0,0.96,549.99,0.04,549.99,0.07,621.0
2026-01-06 17:38:32.048000+00:00,2026-01-06 17:38:32.528647+00:00,512.048,0.945,0.94,0.95,0.055,0.05,0.06,160.0,237.49,237.49,80.0,0.93,531.0,0.96,554.99,0.04,554.99,0.07,531.0
2026-01-06 17:38:32.603000+00:00,2026-01-06 17:38:33.059862+00:00,512.603,0.94,0.93,0.95,0.060000000000000005,0.05,0.07,514.0,237.49,237.49,594.0,0.92,1056.01,0.96,554.99,0.04,586.99,0.08,1056.01
2026-01-06 17:38:33.048000+00:00,2026-01-06 17:38:33.527589+00:00,513.048,0.94,0.93,0.95,0.060000000000000005,0.05,0.07,675.0,237.49,237.49,720.0,0.92,1056.01,0.96,603.99,0.04,588.99,0.08,1056.01
2026-01-06 17:38:33.585000+00:00,2026-01-06 17:38:34.070178+00:00,513.585,0.935,0.93,0.94,0.060000000000000005,0.05,0.07,519.0,10.0,273.36,519.0,0.92,943.01,0.95,267.49,0.04,592.99,0.08,873.01
2026-01-06 17:38:34.021000+00:00,2026-01-06 17:38:34.531566+00:00,514.021,0.94,0.93,0.95,0.065,0.06,0.07,256.0,366.94,5.0,256.0,0.92,847.01,0.96,694.99,0.05,366.94,0.08,847.01
2026-01-06 17:38:34.578000+00:00,2026-01-06 17:38:35.089261+00:00,514.578,0.935,0.93,0.94,0.065,0.06,0.07,256.0,0.82,0.82,256.0,0.92,847.01,0.95,286.94,0.05,286.94,0.08,847.01
2026-01-06 17:38:35.062000+00:00,2026-01-06 17:38:35.547578+00:00,515.062,0.94,0.93,0.95,0.060000000000000005,0.05,0.07,114.0,286.94,486.94,114.0,0.92,847.01,0.96,660.99,0.04,660.99,0.08,847.01
2026-01-06 17:38:35.562000+00:00,2026-01-06 17:38:36.080599+00:00,515.562,0.94,0.93,0.95,0.060000000000000005,0.05,0.07,139.0,486.94,486.94,139.0,0.92,847.01,0.96,677.99,0.04,677.99,0.08,847.01
2026-01-06 17:38:36.044000+00:00,2026-01-06 17:38:36.545276+00:00,516.044,0.945,0.94,0.95,0.055,0.05,0.06,5.0,459.68,459.68,5.0,0.93,139.0,0.96,667.99,0.04,650.99,0.07,131.0
2026-01-06 17:38:36.465000+00:00,2026-01-06 17:38:37.088123+00:00,516.465,0.945,0.94,0.95,0.055,0.05,0.06,5.0,459.68,459.68,5.0,0.93,182.0,0.96,616.99,0.04,616.99,0.07,182.0
2026-01-06 17:38:37.003000+00:00,2026-01-06 17:38:37.545611+00:00,517.003,0.94,0.93,0.95,0.060000000000000005,0.05,0.07,111.0,464.68,464.68,111.0,0.92,1011.01,0.96,611.99,0.04,611.99,0.08,1011.01
2026-01-06 17:38:37.420000+00:00,2026-01-06 17:38:38.096224+00:00,517.42,0.94,0.93,0.95,0.060000000000000005,0.05,0.07,191.0,464.68,464.68,157.0,0.92,1081.01,0.96,611.99,0.04,611.99,0.08,1030.01
2026-01-06 17:38:38.007000+00:00,2026-01-06 17:38:38.562063+00:00,518.007,0.94,0.93,0.95,0.060000000000000005,0.05,0.07,123.0,462.57,462.57,123.0,0.92,1098.01,0.96,679.99,0.04,679.99,0.08,1098.01
2026-01-06 17:38:38.550000+00:00,2026-01-06 17:38:39.112480+00:00,518.55,0.935,0.93,0.94,0.065,0.06,0.07,123.0,5.0,5.0,123.0,0.92,1098.01,0.95,462.57,0.05,462.57,0.08,1098.01
2026-01-06 17:38:39.644000+00:00,2026-01-06 17:38:40.129524+00:00,519.644,0.935,0.93,0.94,0.065,0.06,0.07,43.0,5.0,5.0,43.0,0.92,968.01,0.95,457.57,0.05,462.57,0.08,1048.01
2026-01-06 17:38:39.984000+00:00,2026-01-06 17:38:40.575668+00:00,519.984,0.94,0.93,0.95,0.060000000000000005,0.05,0.07,43.0,532.57,532.57,43.0,0.92,1178.01,0.96,679.99,0.04,679.99,0.08,1178.01
2026-01-06 17:38:40.671000+00:00,2026-01-06 17:38:41.128925+00:00,520.671,0.935,0.93,0.94,0.065,0.06,0.07,23.0,135.0,133.78,23.0,0.92,344.01,0.95,604.57,0.05,604.57,0.08,344.01
2026-01-06 17:38:41.135000+00:00,2026-01-06 17:38:41.589187+00:00,521.135,0.935,0.93,0.94,0.065,0.06,0.07,23.0,38.78,38.78,23.0,0.92,161.01,0.95,604.57,0.05,604.57,0.08,146.01
2026-01-06 17:38:41.655000+00:00,2026-01-06 17:38:42.139182+00:00,521.655,0.935,0.93,0.94,0.065,0.06,0.07,23.0,38.78,38.78,23.0,0.92,146.01,0.95,607.57,0.05,607.57,0.08,146.01
2026-01-06 17:38:42.113000+00:00,2026-01-06 17:38:42.595467+00:00,522.113,0.935,0.93,0.94,0.065,0.06,0.07,23.0,238.78,205.0,23.0,0.92,146.01,0.95,607.57,0.05,615.57,0.08,146.01
2026-01-06 17:38:42.517000+00:00,2026-01-06 17:38:43.141771+00:00,522.517,0.935,0.93,0.94,0.065,0.06,0.07,23.0,205.0,205.0,23.0,0.92,181.01,0.95,615.57,0.05,615.57,0.08,181.01
2026-01-06 17:38:43.156000+00:00,2026-01-06 17:38:43.605669+00:00,523.156,0.935,0.93,0.94,0.065,0.06,0.07,23.0,200.0,200.0,23.0,0.92,198.01,0.95,615.57,0.05,620.57,0.08,198.01
2026-01-06 17:38:43.644000+00:00,2026-01-06 17:38:44.139413+00:00,523.644,0.935,0.93,0.94,0.065,0.06,0.07,23.0,200.0,230.0,23.0,0.92,198.01,0.95,620.57,0.05,615.57,0.08,198.01
2026-01-06 17:38:44.113000+00:00,2026-01-06 17:38:44.623949+00:00,524.113,0.935,0.93,0.94,0.065,0.06,0.07,23.0,210.0,215.0,23.0,0.92,320.01,0.95,615.57,0.05,598.57,0.08,471.01
2026-01-06 17:38:44.638000+00:00,2026-01-06 17:38:45.148064+00:00,524.638,0.935,0.93,0.94,0.065,0.06,0.07,23.0,215.0,245.0,23.0,0.92,532.01,0.95,603.57,0.05,603.57,0.08,532.01
2026-01-06 17:38:45.114000+00:00,2026-01-06 17:38:45.628655+00:00,525.114,0.935,0.93,0.94,0.065,0.06,0.07,23.0,200.0,200.0,23.0,0.92,532.01,0.95,603.57,0.05,586.57,0.08,532.01
2026-01-06 17:38:45.662000+00:00,2026-01-06 17:38:46.158503+00:00,525.662,0.935,0.93,0.94,0.065,0.06,0.07,23.0,198.91,223.91,23.0,0.92,532.01,0.95,569.57,0.05,569.57,0.08,532.01
2026-01-06 17:38:46.129000+00:00,2026-01-06 17:38:46.630495+00:00,526.129,0.935,0.93,0.94,0.065,0.06,0.07,23.0,273.91,268.91,23.0,0.92,452.01,0.95,588.57,0.05,605.57,0.08,435.01
