timestamp,timestamp_ms,asset,market_id,up_mid,up_bid,up_ask,down_mid,down_bid,down_ask,is_observed,collected_at
2026-01-06T03:21:37.775000+00:00,1767669697775,XRP,xrp-updown-15m-1767669300,0.28,0.27,0.29,0.72,0.71,0.73,1,2026-01-06 03:21:37.916551+00:00
2026-01-06T03:21:39.887000+00:00,1767669699887,XRP,xrp-updown-15m-1767669300,0.29000000000000004,0.28,0.3,0.71,0.7,0.72,1,2026-01-06 03:21:39.937417+00:00
2026-01-06T03:21:40.902000+00:00,1767669700902,XRP,xrp-updown-15m-1767669300,0.3,0.29,0.31,0.7,0.69,0.71,1,2026-01-06 03:21:40.932551+00:00
2026-01-06T03:21:41.876000+00:00,1767669701876,XRP,xrp-updown-15m-1767669300,0.33,0.32,0.34,0.67,0.66,0.68,1,2026-01-06 03:21:41.941321+00:00
2026-01-06T03:21:42.937000+00:00,1767669702937,XRP,xrp-updown-15m-1767669300,0.33,0.32,0.34,0.67,0.66,0.68,1,2026-01-06 03:21:43.008641+00:00
2026-01-06T03:21:43.962000+00:00,1767669703962,XRP,xrp-updown-15m-1767669300,0.33,0.32,0.34,0.665,0.66,0.67,1,2026-01-06 03:21:44.008635+00:00
2026-01-06T03:21:44.927000+00:00,1767669704927,XRP,xrp-updown-15m-1767669300,0.32,0.31,0.33,0.6799999999999999,0.67,0.69,1,2026-01-06 03:21:45.020884+00:00
2026-01-06T03:21:46.001000+00:00,1767669706001,XRP,xrp-updown-15m-1767669300,0.33999999999999997,0.33,0.35,0.66,0.65,0.67,1,2026-01-06 03:21:46.038547+00:00
2026-01-06T03:21:47.003000+00:00,1767669707003,XRP,xrp-updown-15m-1767669300,0.35,0.34,0.36,0.65,0.64,0.66,1,2026-01-06 03:21:47.044058+00:00
2026-01-06T03:21:48.060000+00:00,1767669708060,XRP,xrp-updown-15m-1767669300,0.335,0.33,0.34,0.665,0.65,0.68,1,2026-01-06 03:21:48.064379+00:00
